	RT	distractor_position	key_pressed	set_size	target_ecc	target_orientation	target_position
0	1.017501662046925	[[638.7734635746726, -101.17177752244027], [91.46226176235024, -91.46226176235028], [-100.7385865574245, -441.3645858949117], [-517.3886841185355, 6.336183959208255e-14]]	right	5	4	right	[ -2.37606898e-14  -1.29347171e+02]
1	0.6490285438649153	[[-407.88220987132433, 196.42571973715548], [-261.61014884324163, 190.07089889242758], [-182.9245235247005, 182.92452352470053], [91.46226176235024, -91.46226176235028]]	right	5	4	right	[ -1.29347171e+02   1.58404599e-14]
2	1.5611097110258925	[[239.00240780503117, 98.99803875266919], [-100.43253387780676, 374.8193191648576], [168.02690402897028, 97.01037827222538], [-336.05380805794044, 194.02075654445093], [-182.9245235247005, 182.92452352470053], [-100.43253387780712, -374.8193191648575], [430.1929685937627, -287.4457517974401], [-190.0708988924275, 261.6101488432417], [307.54117468019246, 99.92618505619932], [-99.9261850561993, 307.5411746801925], [239.0024078050311, -98.99803875266934], [99.92618505619926, -307.5411746801925], [517.3886841185355, 0.0], [-374.8193191648575, 100.43253387780692], [-196.4257197371554, 407.8822098713244], [-517.3886841185355, 6.336183959208255e-14], [-1.1880344923515477e-14, -64.67358551481693], [638.7734635746726, -101.17177752244027], [-573.2194358708077, 101.07405241050928], [504.0807120869106, -291.03113481667646], [478.00481561006234, 197.99607750533838], [-388.0415130889016, 4.7521379694061906e-14], [573.2194358708077, -101.07405241050911], [-711.4094406629863, 8.712252943911351e-14], [190.07089889242746, -261.6101488432417], [507.44720563065624, 100.93752499218594], [91.46226176235027, 91.46226176235025], [97.01037827222527, -168.02690402897034], [-282.2632471268895, 353.9469166770056]]	left	30	8	left	[-239.00240781   98.99803875]
3	3.6097389646392912	[[99.92618505619933, 307.54117468019246], [517.3886841185355, 0.0], [-282.2632471268895, 353.9469166770056], [274.38678528705077, 274.3867852870507], [-98.99803875266917, 239.00240780503117], [-1.1880344923515477e-14, -64.67358551481693], [615.0823493603849, 199.85237011239863], [-182.9245235247005, 182.92452352470053], [365.84904704940095, -365.8490470494011], [129.34717102963387, 0.0], [239.00240780503117, 98.99803875266919], [-274.3867852870509, -274.3867852870506], [91.46226176235024, -91.46226176235028], [323.36792757408466, 0.0], [-646.7358551481693, 7.920229949010318e-14], [307.54117468019246, 99.92618505619932], [353.9469166770055, -282.26324712688955], [646.7358551481693, 0.0], [-99.9261850561993, 307.5411746801925], [-100.73858655742438, 441.3645858949117], [546.9596196123588, -199.07702088446362], [478.00481561006234, 197.99607750533838], [-194.0207565444508, 2.3760689847030953e-14], [91.46226176235027, 91.46226176235025], [190.07089889242746, -261.6101488432417], [507.44720563065624, 100.93752499218594], [-4.7521379694061906e-14, -258.69434205926774], [-430.19296859376277, 287.4457517974401], [582.0622696333523, 0.0]]	right	30	12	right	[-374.81931916  100.43253388]
4	2.349820567410461	[[99.92618505619933, 307.54117468019246], [-407.8822098713244, -196.42571973715536], [196.42571973715545, 407.8822098713244], [-194.0207565444507, 336.05380805794056], [336.05380805794044, -194.02075654445096], [711.4094406629863, 0.0], [-194.0207565444508, 2.3760689847030953e-14], [-97.01037827222548, -168.02690402897022], [-100.7385865574245, -441.3645858949117], [-573.2194358708077, 101.07405241050928], [3.96011497450516e-15, 64.67358551481693], [430.1929685937627, 287.4457517974401], [-365.849047049401, 365.84904704940107], [7.92022994901032e-15, 129.34717102963387], [-638.7734635746727, -101.17177752244002], [-182.92452352470056, -182.9245235247005], [430.1929685937627, -287.4457517974401], [-388.0415130889016, 4.7521379694061906e-14], [-100.43253387780712, -374.8193191648575], [374.8193191648575, -100.43253387780713], [182.92452352470048, -182.92452352470056], [239.00240780503117, 98.99803875266919], [-407.88220987132433, 196.42571973715548], [-5.940172461757739e-14, -323.36792757408466], [-91.46226176235025, 91.46226176235027], [573.2194358708077, -101.07405241050911], [478.00481561006234, 197.99607750533838], [282.26324712688944, -353.9469166770056], [100.43253387780689, 374.8193191648575]]	left	30	12	left	[-100.43253388  374.81931916]
5	3.0653868434346805	[[-3.564103477054643e-14, -194.0207565444508], [239.0024078050311, -98.99803875266934], [282.26324712688944, -353.9469166770056], [-261.6101488432417, -190.0708988924275], [97.01037827222527, -168.02690402897034], [98.9980387526692, 239.00240780503117], [-573.2194358708077, -101.0740524105089], [-307.54117468019246, 99.92618505619936], [-430.1929685937628, -287.44575179744], [97.01037827222542, 168.02690402897025], [-91.46226176235025, 91.46226176235027], [507.44720563065624, 100.93752499218594], [441.3645858949117, 100.73858655742441], [430.1929685937627, 287.4457517974401], [-374.8193191648575, 100.43253387780692], [430.1929685937627, -287.4457517974401], [-365.8490470494011, -365.849047049401], [-504.08071208691086, -291.031134816676], [100.43253387780689, 374.8193191648575], [-168.02690402897022, 97.01037827222547], [-407.88220987132433, 196.42571973715548], [582.0622696333523, 0.0], [504.0807120869108, 291.0311348166761], [-323.36792757408466, 3.960114974505159e-14], [99.92618505619933, 307.54117468019246], [261.61014884324163, -190.0708988924276], [-91.46226176235028, -91.46226176235025], [-261.61014884324163, 190.07089889242758], [-374.81931916485763, -100.43253387780666]]	right	30	12	right	[ 274.38678529 -274.38678529]
6	1.278292134728872	[[282.26324712688944, -353.9469166770056], [-100.73858655742438, 441.3645858949117], [190.07089889242752, 261.6101488432417], [98.99803875266925, -239.00240780503114], [100.73858655742444, 441.3645858949117], [-196.4257197371555, -407.88220987132433], [-261.6101488432417, -190.0708988924275], [-274.3867852870509, -274.3867852870506], [-100.7385865574245, -441.3645858949117], [100.43253387780689, 374.8193191648575], [441.3645858949117, 100.73858655742441], [-7.128206954109286e-14, -388.0415130889016], [-274.3867852870507, 274.38678528705077], [-99.92618505619937, -307.54117468019246]]	left	15	12	left	[ 336.05380806  194.02075654]
7	0.6123241167206288	[[374.8193191648575, -100.43253387780713], [-336.0538080579406, -194.02075654445068], [196.42571973715545, 407.8822098713244], [99.92618505619926, -307.5411746801925]]	left	5	4	left	[ 91.46226176  91.46226176]
8	1.3222773513534776	[[-98.99803875266933, -239.0024078050311], [-478.00481561006234, 197.99607750533843], [-168.02690402897022, 97.01037827222547], [-196.4257197371554, 407.8822098713244], [-573.2194358708077, 101.07405241050928], [-91.46226176235025, 91.46226176235027], [-615.0823493603849, 199.85237011239872], [582.0622696333523, 0.0], [-129.34717102963387, 1.584045989802064e-14], [353.94691667700556, 282.2632471268895], [517.3886841185355, 0.0], [-353.94691667700556, 282.26324712688955], [182.92452352470048, -182.92452352470056], [-239.0024078050312, -98.99803875266916]]	right	15	12	right	[ 388.04151309    0.        ]
9	1.5154655839505722	[[-307.5411746801925, -99.92618505619929], [-97.01037827222535, 168.02690402897028], [365.84904704940095, -365.8490470494011], [282.26324712688944, -353.9469166770056], [-129.34717102963387, 1.584045989802064e-14], [-194.0207565444508, 2.3760689847030953e-14], [323.36792757408466, 0.0], [-711.4094406629863, 8.712252943911351e-14], [365.84904704940107, 365.849047049401], [-307.54117468019246, 99.92618505619936], [194.0207565444508, 0.0], [-478.00481561006234, 197.99607750533843], [64.67358551481693, 0.0], [274.38678528705066, -274.3867852870508], [190.07089889242746, -261.6101488432417], [-8.316241446460834e-14, -452.71509860371856], [353.94691667700556, 282.2632471268895], [182.92452352470053, 182.9245235247005], [-3.564103477054643e-14, -194.0207565444508], [-615.082349360385, -199.85237011239857], [-582.0622696333523, 7.128206954109286e-14], [646.7358551481693, 0.0], [-478.0048156100624, -197.99607750533832], [-100.43253387780676, 374.8193191648576], [-504.0807120869108, 291.0311348166761], [-99.9261850561993, 307.5411746801925], [261.6101488432417, 190.07089889242752], [-407.88220987132433, 196.42571973715548], [-282.2632471268895, 353.9469166770056]]	right	30	12	right	[ -7.12820695e-14  -3.88041513e+02]
10	1.5058813065115828	[[323.36792757408466, 0.0], [-258.69434205926774, 3.168091979604128e-14], [353.9469166770055, -282.26324712688955], [7.92022994901032e-15, 129.34717102963387], [-98.99803875266917, 239.00240780503117], [365.84904704940107, 365.849047049401], [388.0415130889016, 0.0], [-190.0708988924275, 261.6101488432417], [-353.9469166770056, -282.26324712688944], [-182.92452352470056, -182.9245235247005], [-98.99803875266933, -239.0024078050311], [-91.46226176235028, -91.46226176235025], [-441.3645858949117, 100.73858655742447], [-507.44720563065624, -100.937524992186], [1.1880344923515477e-14, 194.0207565444508], [546.9596196123588, -199.07702088446362], [-546.9596196123589, 199.07702088446328], [-7.128206954109286e-14, -388.0415130889016], [-4.7521379694061906e-14, -258.69434205926774], [430.1929685937627, 287.4457517974401], [-99.9261850561993, 307.5411746801925], [98.9980387526692, 239.00240780503117], [-2.3760689847030953e-14, -129.34717102963387], [282.26324712688944, -353.9469166770056], [646.7358551481693, 0.0], [168.02690402897028, 97.01037827222538], [97.01037827222542, 168.02690402897025], [441.3645858949117, 100.73858655742441], [1.9800574872525794e-14, 323.36792757408466]]	right	30	12	right	[ -3.88041513e+02   4.75213797e-14]
11	1.9662271033867	[[-365.849047049401, 365.84904704940107], [-407.88220987132433, 196.42571973715548], [-129.34717102963387, 1.584045989802064e-14], [100.43253387780663, -374.81931916485763], [-282.2632471268895, 353.9469166770056], [365.84904704940107, 365.849047049401], [307.54117468019246, 99.92618505619932], [129.34717102963387, 0.0], [-282.26324712688955, -353.9469166770055], [-196.4257197371555, -407.88220987132433], [615.0823493603849, -199.85237011239877], [-374.81931916485763, -100.43253387780666], [-504.0807120869108, 291.0311348166761], [504.0807120869106, -291.03113481667646]]	left	15	12	left	[-336.05380806 -194.02075654]
12	0.6791469340241747	[[336.05380805794044, -194.02075654445096], [-365.8490470494011, -365.849047049401], [-582.0622696333523, 7.128206954109286e-14], [-99.9261850561993, 307.5411746801925], [-430.1929685937628, -287.44575179744], [546.9596196123588, -199.07702088446362], [99.92618505619933, 307.54117468019246], [-615.0823493603849, 199.85237011239872], [-353.94691667700556, 282.26324712688955], [441.3645858949117, 100.73858655742441], [307.54117468019246, -99.92618505619939], [190.07089889242746, -261.6101488432417], [-64.67358551481693, 7.92022994901032e-15], [-98.99803875266917, 239.00240780503117]]	left	15	4	left	[ 91.46226176  91.46226176]
13	0.903930297822626	[[98.9980387526692, 239.00240780503117], [-274.3867852870509, -274.3867852870506], [-194.0207565444508, 2.3760689847030953e-14], [91.46226176235027, 91.46226176235025], [-388.0415130889016, 4.7521379694061906e-14], [-100.43253387780676, 374.8193191648576], [507.44720563065624, 100.93752499218594], [638.7734635746726, -101.17177752244027], [100.73858655742434, -441.3645858949117], [-196.4257197371555, -407.88220987132433], [100.43253387780663, -374.81931916485763], [100.73858655742444, 441.3645858949117], [430.1929685937627, 287.4457517974401], [168.02690402897022, -97.01037827222548], [-353.94691667700556, 282.26324712688955], [430.1929685937627, -287.4457517974401], [-546.9596196123589, -199.07702088446317], [-7.128206954109286e-14, -388.0415130889016], [-5.940172461757739e-14, -323.36792757408466], [1.9800574872525794e-14, 323.36792757408466], [478.00481561006234, 197.99607750533838], [-282.2632471268895, 353.9469166770056], [282.26324712688955, 353.94691667700556], [-504.08071208691086, -291.031134816676], [99.92618505619933, 307.54117468019246], [-194.02075654445096, -336.05380805794044], [-261.6101488432417, -190.0708988924275], [-615.0823493603849, 199.85237011239872], [-478.00481561006234, 197.99607750533843]]	left	30	8	left	[ 182.92452352  182.92452352]
