	RT	flanker_presence	key_pressed	target_ecc	target_flank_ratio	target_orientation	target_vf
0	0.9166650511842818	flankers	left	4	0.8	left	left
1	0.9333100323738108	flankers	right	12	0.8	right	left
2	0.8998541504406603	flankers	right	4	0.8	right	left
3	0.7333296462320504	flankers	right	8	0.8	right	left
4	0.6000594687602643	flankers	right	12	0.8	right	right
5	0.6917169081716565	flankers	left	12	0.75	left	left
6	0.5000324997063217	flankers	right	4	0.75	right	left
7	0.5165985123112478	flankers	left	8	0.8	left	right
8	0.49991761039382254	flankers	right	4	0.75	right	left
9	0.5916639963688795	no flankers	left	4	0.75	left	left
10	0.6083882312295827	flankers	left	4	0.75	left	right
11	0.49170402232357446	flankers	left	8	0.75	left	right
12	0.7000339821497619	flankers	right	12	0.75	right	left
13	0.4249205467713182	flankers	right	12	0.75	right	left
14	0.4666370558225026	flankers	right	8	0.75	right	right
15	0.5582069740949009	no flankers	left	12	0.75	left	left
16	0.3831082491096822	flankers	right	12	0.8	left	right
17	0.4582338861328026	flankers	left	12	0.8	left	right
18	0.5415383308381934	flankers	left	4	0.7	left	right
19	0.45003797334084084	flankers	left	4	0.7	left	right
20	0.5000114034064609	no flankers	left	4	0.7	left	left
21	0.4084118362789013	flankers	left	8	0.75	left	left
22	0.516701428048691	flankers	left	8	0.7	left	right
23	0.45830430216301465	flankers	left	8	0.7	left	left
24	0.4499869431001571	flankers	right	4	0.7	right	left
25	0.39997388620031415	flankers	right	8	0.7	right	left
26	0.44162397041509394	flankers	right	8	0.6499999999999999	right	left
27	0.383414715638537	flankers	right	4	0.6499999999999999	right	left
28	0.47497180507889425	flankers	left	4	0.6499999999999999	left	left
29	0.45824700004868646	no flankers	left	8	0.6499999999999999	left	left
30	0.5083860645818277	flankers	right	8	0.6499999999999999	right	right
31	0.5999927588372884	flankers	left	12	0.8	left	left
32	0.5084214151402193	flankers	right	12	0.75	right	left
33	0.5248728235173985	flankers	left	8	0.7	right	right
34	0.5666209770215573	flankers	right	12	0.75	right	right
35	0.5582075442653149	flankers	right	8	0.7	right	left
36	0.4498543785093716	flankers	right	4	0.6499999999999999	right	left
37	0.4665617933451358	flankers	right	12	0.75	right	left
38	0.4750330983852109	flankers	right	12	0.7	right	left
39	0.5083413062147883	flankers	left	8	0.7	left	left
40	0.4332550109411386	no flankers	left	12	0.7	left	right
41	0.383184651927877	no flankers	right	12	0.7	right	left
42	0.4334143735368343	flankers	left	4	0.5999999999999999	left	right
