	RT	flanker_presence	key_pressed	target_ecc	target_flank_ratio	target_orientation	target_vf
0		flankers		8	0.8	right	left
1		flankers		4	0.8	left	left
2		flankers		4	0.8	left	right
3		flankers		12	0.8	left	left
4		flankers		4	0.8	left	left
5		flankers		8	0.8	right	left
6		flankers		12	0.8	right	right
7		flankers		4	0.8	right	left
8		flankers		12	0.8	right	right
9		flankers		8	0.8	left	left
10		no flankers		8	0.8	right	left
11		flankers		4	0.8	right	left
12		flankers		8	0.8	right	left
13		flankers		4	0.8	right	right
14		flankers		8	0.8	right	right
15		flankers		4	0.8	left	right
16		flankers		4	0.8	left	right
17		no flankers		4	0.8	right	left
18		flankers		8	0.8	right	right
19		no flankers		4	0.8	left	right
20		flankers		12	0.8	left	right
21		no flankers		12	0.8	right	left
22		flankers		4	0.8	right	right
23		flankers		4	0.8	right	right
24		flankers		12	0.8	left	right
25		no flankers		4	0.8	left	left
26		flankers		4	0.8	right	left
27		flankers		12	0.8	left	right
28		flankers		4	0.8	right	right
29		flankers		12	0.8	left	right
30		flankers		12	0.8	left	right
31		flankers		12	0.8	right	right
32		no flankers		8	0.8	right	left
33		flankers		12	0.8	right	left
34		flankers		8	0.8	right	left
35		flankers		8	0.8	left	right
36		flankers		12	0.8	left	left
37		flankers		4	0.8	left	left
38		flankers		4	0.8	left	left
39		flankers		8	0.8	right	right
40		flankers		4	0.8	right	left
41		flankers		4	0.8	left	right
42		no flankers		12	0.8	left	right
43		flankers		8	0.8	left	left
44		flankers		12	0.8	right	right
45		flankers		4	0.8	right	left
46		flankers		12	0.8	right	left
47		flankers		12	0.8	left	right
48		flankers		4	0.8	left	right
49		flankers		12	0.8	left	left
50		flankers		8	0.8	right	left
51		flankers		12	0.8	left	right
52		flankers		8	0.8	right	left
53		flankers		12	0.8	left	left
54		no flankers		4	0.8	right	left
55		flankers		8	0.8	right	left
56		no flankers		12	0.8	right	right
57		flankers		12	0.8	right	right
58		flankers		12	0.8	left	left
59		flankers		4	0.8	right	right
60		flankers		12	0.8	left	left
61		flankers		4	0.8	right	left
62		flankers		4	0.8	left	right
63		flankers		8	0.8	right	right
64		flankers		12	0.8	left	left
65		no flankers		8	0.8	left	left
66		flankers		8	0.8	left	left
67		flankers		8	0.8	left	left
68		flankers		8	0.8	right	right
69		flankers		8	0.8	left	left
70		flankers		4	0.8	right	left
71	0.9582623679343669	flankers	left	12	0.8	right	right
72		flankers		0.0	0.0	left	0.0
73		flankers		0.0	0.0	right	0.0
74		flankers		0.0	0.0	left	0.0
75		flankers		0.0	0.0	right	0.0
76		no flankers		0.0	0.0	right	0.0
77		flankers		0.0	0.0	left	0.0
78		flankers		0.0	0.0	left	0.0
79		no flankers		0.0	0.0	left	0.0
80		flankers		0.0	0.0	left	0.0
81		flankers		0.0	0.0	left	0.0
82		flankers		0.0	0.0	right	0.0
83		flankers		0.0	0.0	right	0.0
84		flankers		0.0	0.0	right	0.0
85		flankers		0.0	0.0	right	0.0
86		flankers		0.0	0.0	left	0.0
87		no flankers		0.0	0.0	left	0.0
88		flankers		0.0	0.0	right	0.0
89		flankers		0.0	0.0	right	0.0
90		flankers		0.0	0.0	left	0.0
91		flankers		0.0	0.0	left	0.0
92		flankers		0.0	0.0	right	0.0
93		no flankers		0.0	0.0	right	0.0
94		no flankers		0.0	0.0	right	0.0
95		flankers		0.0	0.0	right	0.0
96		flankers		0.0	0.0	right	0.0
97		flankers		0.0	0.0	left	0.0
98		no flankers		0.0	0.0	left	0.0
99		no flankers		0.0	0.0	right	0.0
100		no flankers		0.0	0.0	left	0.0
101		flankers		0.0	0.0	left	0.0
102		flankers		0.0	0.0	right	0.0
103		flankers		0.0	0.0	right	0.0
104		flankers		0.0	0.0	left	0.0
105		no flankers		0.0	0.0	left	0.0
106		flankers		0.0	0.0	right	0.0
107		flankers		0.0	0.0	left	0.0
108		flankers		0.0	0.0	right	0.0
109		flankers		0.0	0.0	right	0.0
110		flankers		0.0	0.0	left	0.0
111		flankers		0.0	0.0	left	0.0
112		no flankers		0.0	0.0	left	0.0
113		no flankers		0.0	0.0	left	0.0
114		flankers		0.0	0.0	right	0.0
115		flankers		0.0	0.0	left	0.0
116		flankers		0.0	0.0	left	0.0
117		flankers		0.0	0.0	right	0.0
118		flankers		0.0	0.0	left	0.0
119		flankers		0.0	0.0	left	0.0
120		flankers		0.0	0.0	right	0.0
121		flankers		0.0	0.0	right	0.0
122		flankers		0.0	0.0	left	0.0
123		flankers		0.0	0.0	right	0.0
124		no flankers		0.0	0.0	left	0.0
125		flankers		0.0	0.0	right	0.0
126		flankers		0.0	0.0	left	0.0
127		flankers		0.0	0.0	left	0.0
128		flankers		0.0	0.0	left	0.0
129		flankers		0.0	0.0	right	0.0
130		no flankers		0.0	0.0	right	0.0
131		no flankers		0.0	0.0	left	0.0
132		flankers		0.0	0.0	left	0.0
133		flankers		0.0	0.0	left	0.0
134		flankers		0.0	0.0	right	0.0
135		flankers		0.0	0.0	left	0.0
136		flankers		0.0	0.0	right	0.0
137		flankers		0.0	0.0	left	0.0
138		flankers		0.0	0.0	right	0.0
139		flankers		0.0	0.0	right	0.0
140		flankers		0.0	0.0	right	0.0
141		flankers		0.0	0.0	left	0.0
142		flankers		0.0	0.0	right	0.0
143		flankers		0.0	0.0	left	0.0
0	1.383264178301033	flankers	right	4	0.8	left	left
1	0.9417395707241667	flankers	left	8	0.8	left	right
2	1.3917751793414936	flankers	left	12	0.8	left	right
3	1.4500914876334718	flankers	left	4	0.8	right	right
4	1.0999136726240977	flankers	left	8	0.8	left	right
5	1.8415804295727867	flankers	right	12	0.8	left	left
6		no flankers		4	0.8	right	left
7	6.44319225102663e-05	flankers	right	4	0.8	right	right
8		flankers		8	0.8	right	right
9	6.671269875369035e-05	flankers	left	4	0.8	left	left
10		flankers		12	0.8	right	left
11	5.5593918659724295e-05	flankers	left	4	0.8	right	right
12	0.9832705074550177	no flankers	right	8	0.8	left	right
13		flankers		12	0.8	left	right
14		flankers		8	0.8	left	right
15	1.8416300364515337	no flankers	right	12	0.8	right	right
16	1.2917423361650435	flankers	left	12	0.8	right	left
17	1.5584386149057536	flankers	right	4	0.8	left	right
18	1.399967441921035	flankers	left	12	0.8	right	left
19	1.5082307506781945	no flankers	right	4	0.8	left	right
20		flankers		12	0.8	left	right
21		flankers		4	0.8	left	right
22		flankers		12	0.8	right	left
23	1.2501455420242564	flankers	left	8	0.75	left	left
24		no flankers		8	0.75	left	right
