	RT	distractor_position	key_pressed	set_size	target_ecc	target_orientation	target_position
0	2.032040057270933	[[110.93172543973901, 486.0236453030718], [106.82628191497699, 185.02854786041638], [370.0570957208328, 213.6525638299539], [-677.3188768454797, -220.07424371744645], [-602.303212928994, -219.22044150905222], [109.015061946731, -263.18564105474087], [-526.3712821094819, 218.03012389346193], [8.721630947465956e-15, 142.43504255330262], [-356.0876063832565, 4.360815473732977e-14], [449.15338663608685, 216.30087095538406], [110.03712185872328, 338.6594384227398], [-370.0570957208327, 213.65256382995406], [555.0856435812492, 320.4788457449308], [-216.30087095538414, -449.1533866360868], [-486.0236453030718, 110.93172543973904], [370.05709572083265, -213.65256382995412], [-106.82628191497692, 185.0285478604164], [216.30087095538397, -449.1533866360869], [263.1856410547409, 109.01506194673094], [-288.0809250503516, -209.30304355620527], [-110.59470510834802, 412.7450585124523], [486.02364530307176, -110.93172543973911], [526.3712821094819, 218.03012389346188], [558.7927725995478, -111.15079327241922], [602.3032129289937, -219.22044150905273], [703.4071541103464, -111.40874842404224], [-640.9576914898618, 7.849467852719359e-14], [640.9576914898618, 0.0], [209.3030435562053, 288.08092505035154]]	right	30	12	right	[-370.05709572 -213.65256383]
1	1.2385814371045853	[[-569.7401702132105, 6.977304757972765e-14], [-263.1856410547409, -109.01506194673091], [-486.0236453030718, -110.93172543973893], [-288.0809250503516, -209.30304355620527]]	right	5	12	right	[ 427.30512766    0.        ]
2	1.2643011787622527	[[-449.15338663608685, -216.300870955384], [712.175212766513, 0.0], [703.4071541103465, 111.40874842404206], [302.15035340410424, 302.1503534041042], [109.015061946731, -263.18564105474087], [558.7927725995479, 111.15079327241895], [-216.30087095538403, 449.15338663608685], [486.02364530307176, -110.93172543973911], [-288.0809250503516, -209.30304355620527], [216.30087095538397, -449.1533866360869], [-7.849467852719359e-14, -427.30512765990784], [-109.01506194673092, 263.1856410547409], [4.360815473732978e-15, 71.21752127665131], [-338.65943842273987, -110.03712185872322], [-640.9576914898618, 7.849467852719359e-14], [-389.7607016619593, -310.8237876075462], [-677.3188768454797, -220.07424371744645], [-555.0856435812492, 320.4788457449308], [-389.7607016619592, 310.8237876075463], [-110.03712185872332, -338.6594384227398], [288.08092505035154, 209.3030435562053], [558.7927725995478, -111.15079327241922], [110.0371218587232, -338.65943842273987], [-302.1503534041042, 302.15035340410424], [-412.74505851245226, 110.5947051083482], [389.7607016619592, 310.82378760754625], [-288.0809250503515, 209.30304355620532], [-263.1856410547409, 109.01506194673097], [110.03712185872328, 338.6594384227398]]	left	30	8	left	[ 263.18564105 -109.01506195]
3	0.7167182027005765	[[142.43504255330262, 0.0], [712.175212766513, 0.0], [209.3030435562052, -288.0809250503516], [-185.02854786041644, -106.8262819149769]]	right	5	4	right	[ -2.61648928e-14  -1.42435043e+02]
4	2.883935011566791	[[712.175212766513, 0.0], [498.52264893655916, 0.0], [263.1856410547409, 109.01506194673094], [-412.7450585124524, -110.59470510834791], [-677.3188768454797, -220.07424371744645], [310.8237876075463, 389.7607016619592], [185.0285478604164, 106.82628191497695], [558.7927725995479, 111.15079327241895], [2.6164892842397864e-14, 427.30512765990784], [783.3927340431644, 0.0], [-213.65256382995392, 2.6164892842397864e-14], [-449.1533866360868, 216.3008709553841], [473.72163844036425, 316.5306791259812], [4.360815473732978e-15, 71.21752127665131], [412.7450585124522, -110.59470510834842], [-486.0236453030718, -110.93172543973893], [-473.7216384403643, 316.5306791259812], [-263.1856410547409, 109.01506194673097], [402.86713787213887, -402.86713787213904], [209.3030435562052, -288.0809250503516], [-310.82378760754625, 389.7607016619593], [-209.30304355620527, 288.08092505035154], [201.43356893606943, -201.43356893606952], [-1.3082446421198932e-14, -71.21752127665131], [302.1503534041041, -302.1503534041043], [-498.52264893655916, 6.105141663226169e-14], [-677.3188768454796, 220.0742437174466], [640.9576914898618, 0.0], [-100.71678446803476, -100.71678446803473]]	left	30	8	left	[-201.43356894  201.43356894]
5	0.8399587977801275	[[-185.02854786041644, -106.8262819149769], [412.7450585124522, -110.59470510834842], [473.72163844036425, -316.5306791259812], [-486.0236453030718, -110.93172543973893]]	right	5	8	right	[ 284.87008511    0.        ]
6	1.0113651072024368	[[703.4071541103464, -111.40874842404224], [631.2201039320228, -111.30113508881706], [-631.2201039320228, 111.30113508881726], [-338.6594384227398, 110.0371218587233]]	left	5	12	left	[ 412.74505851 -110.59470511]
7	0.8149982694594655	[[558.7927725995478, -111.15079327241922], [-310.82378760754636, -389.76070166195916], [-263.1856410547409, -109.01506194673091], [-569.7401702132105, 6.977304757972765e-14], [-109.0150619467311, -263.18564105474087], [-526.3712821094819, -218.03012389346182], [-9.157712494839252e-14, -498.52264893655916], [602.303212928994, 219.22044150905228], [-110.5947051083484, -412.7450585124522], [8.721630947465956e-15, 142.43504255330262], [209.3030435562053, 288.08092505035154], [-7.849467852719359e-14, -427.30512765990784], [558.7927725995479, 111.15079327241895], [631.2201039320228, -111.30113508881706]]	right	15	8	right	[-201.43356894  201.43356894]
8	0.9349650955737161	[[498.52264893655916, 0.0], [288.08092505035154, 209.3030435562053], [338.6594384227398, 110.03712185872327], [-216.30087095538414, -449.1533866360868]]	left	5	8	left	[ -5.23297857e-14  -2.84870085e+02]
9	0.7943315872071253	[[-449.15338663608685, -216.300870955384], [201.4335689360695, 201.43356893606946], [-526.3712821094819, -218.03012389346182], [310.8237876075462, -389.7607016619593], [-1.3082446421198932e-14, -71.21752127665131], [-100.71678446803476, -100.71678446803473], [449.15338663608685, 216.30087095538406], [-213.65256382995392, 2.6164892842397864e-14], [486.0236453030718, 110.93172543973898], [-6.541223210599466e-14, -356.0876063832565], [106.82628191497699, 185.02854786041638], [-427.30512765990784, 5.232978568479573e-14], [389.76070166195916, -310.82378760754636], [631.2201039320228, 111.30113508881703]]	right	15	12	right	[-110.59470511  412.74505851]
10	1.8018909344282292	[[110.0371218587232, -338.65943842273987], [-555.0856435812492, 320.4788457449308], [71.21752127665131, 0.0], [100.71678446803475, 100.71678446803473], [1.3082446421198932e-14, 213.65256382995392], [-486.0236453030718, -110.93172543973893], [-71.21752127665131, 8.721630947465956e-15], [-110.93172543973908, -486.0236453030718], [-631.2201039320228, 111.30113508881726], [310.8237876075463, 389.7607016619592], [402.86713787213887, -402.86713787213904], [486.0236453030718, 110.93172543973898], [-288.0809250503515, 209.30304355620532], [-100.71678446803473, 100.71678446803475]]	right	15	4	right	[  8.72163095e-15   1.42435043e+02]
11	2.2571061855196604	[[-402.8671378721389, 402.867137872139], [-402.86713787213904, -402.8671378721389], [1.3082446421198932e-14, 213.65256382995392], [-213.65256382995392, 2.6164892842397864e-14], [110.59470510834817, 412.74505851245226], [-100.71678446803476, -100.71678446803473], [412.7450585124522, -110.59470510834842], [370.0570957208328, 213.6525638299539], [-213.65256382995383, 370.0570957208328], [213.65256382995392, 0.0], [106.82628191497682, -185.02854786041647], [216.30087095538397, -449.1533866360869], [209.3030435562053, 288.08092505035154], [-486.0236453030718, 110.93172543973904]]	right	15	4	right	[  8.72163095e-15   1.42435043e+02]
12	1.3724541549745481	[[-338.65943842273987, -110.03712185872322], [569.7401702132105, 0.0], [-703.4071541103465, -111.40874842404196], [4.360815473732978e-15, 71.21752127665131], [-7.849467852719359e-14, -427.30512765990784], [110.59470510834817, 412.74505851245226], [185.0285478604164, 106.82628191497695], [-569.7401702132105, 6.977304757972765e-14], [449.1533866360868, -216.30087095538417], [-209.30304355620532, -288.0809250503515], [-602.3032129289938, 219.22044150905236], [3.0525708316130845e-14, 498.52264893655916], [-216.30087095538403, 449.15338663608685], [-185.02854786041644, -106.8262819149769], [427.30512765990784, 0.0], [338.6594384227398, -110.03712185872334], [-526.3712821094819, 218.03012389346193], [209.3030435562053, 288.08092505035154], [-288.0809250503516, -209.30304355620527], [-201.43356893606946, 201.4335689360695], [1.3082446421198932e-14, 213.65256382995392], [-310.82378760754636, -389.76070166195916], [-110.03712185872332, -338.6594384227398], [263.18564105474087, -109.01506194673111], [338.6594384227398, 110.03712185872327], [703.4071541103464, -111.40874842404224], [-216.30087095538414, -449.1533866360868], [-631.2201039320229, -111.30113508881684], [109.01506194673095, 263.1856410547409]]	right	30	12	left	[-302.1503534 -302.1503534]
13	5.476636585131928	[[-6.541223210599466e-14, -356.0876063832565], [602.3032129289937, -219.22044150905273], [-213.65256382995412, -370.05709572083265], [-338.6594384227398, 110.0371218587233]]	right	5	4	right	[-100.71678447  100.71678447]
14	1.1902497962983034	[[-486.0236453030718, 110.93172543973904], [-555.0856435812493, -320.4788457449307], [284.87008510660525, 0.0], [-288.0809250503516, -209.30304355620527], [473.72163844036425, -316.5306791259812], [631.2201039320228, 111.30113508881703], [-109.01506194673092, 263.1856410547409], [110.59470510834817, 412.74505851245226], [-288.0809250503515, 209.30304355620532], [356.0876063832565, 0.0], [-302.15035340410435, -302.15035340410407], [-3.9247339263596795e-14, -213.65256382995392], [-703.4071541103465, -111.40874842404196], [-783.3927340431644, 9.59379404221255e-14], [486.02364530307176, -110.93172543973911], [-100.71678446803473, 100.71678446803475], [110.93172543973901, 486.0236453030718], [-110.03712185872332, -338.6594384227398], [569.7401702132105, 0.0], [402.867137872139, 402.8671378721389], [412.7450585124522, -110.59470510834842], [213.65256382995364, -370.05709572083293], [-185.02854786041644, -106.8262819149769], [-110.03712185872324, 338.65943842273987], [703.4071541103465, 111.40874842404206], [216.30087095538397, -449.1533866360869], [338.6594384227398, -110.03712185872334], [-389.7607016619592, 310.8237876075463], [302.1503534041041, -302.1503534041043]]	right	30	8	right	[ 263.18564105 -109.01506195]
15	2.421286996326671	[[526.3712821094819, 218.03012389346188], [473.72163844036425, -316.5306791259812], [783.3927340431644, 0.0], [-412.74505851245226, 110.5947051083482], [-602.303212928994, -219.22044150905222], [677.3188768454796, 220.07424371744654], [302.15035340410424, 302.1503534041042], [-555.0856435812492, 320.4788457449308], [558.7927725995478, -111.15079327241922], [-338.6594384227398, 110.0371218587233], [-9.157712494839252e-14, -498.52264893655916], [-473.72163844036436, -316.530679125981], [110.93172543973901, 486.0236453030718], [213.65256382995364, -370.05709572083293], [526.3712821094817, -218.03012389346222], [2.1804077368664886e-14, 356.0876063832565], [263.18564105474087, -109.01506194673111], [216.30087095538408, 449.15338663608685], [-5.232978568479573e-14, -284.87008510660525], [-370.0570957208329, -213.6525638299538], [1.7443261894931912e-14, 284.87008510660525], [-110.03712185872332, -338.6594384227398], [-449.1533866360868, 216.3008709553841], [-109.01506194673092, 263.1856410547409], [412.7450585124523, 110.59470510834807], [-356.0876063832565, 4.360815473732977e-14], [-427.30512765990784, 5.232978568479573e-14], [213.65256382995398, 370.05709572083276], [370.0570957208328, 213.6525638299539]]	right	30	8	right	[ 201.43356894  201.43356894]
16	1.1474259446258657	[[-473.7216384403643, 316.5306791259812], [-310.82378760754625, 389.7607016619593], [412.7450585124523, 110.59470510834807], [-555.0856435812492, 320.4788457449308], [-473.72163844036436, -316.530679125981], [310.8237876075462, -389.7607016619593], [449.1533866360868, -216.30087095538417], [-209.30304355620532, -288.0809250503515], [-631.2201039320228, 111.30113508881726], [-412.7450585124524, -110.59470510834791], [185.02854786041632, -106.82628191497706], [-389.7607016619593, -310.8237876075462], [2.1804077368664886e-14, 356.0876063832565], [-6.541223210599466e-14, -356.0876063832565], [110.59470510834788, -412.7450585124524], [555.0856435812492, 320.4788457449308], [209.3030435562053, 288.08092505035154], [-3.9247339263596795e-14, -213.65256382995392], [486.02364530307176, -110.93172543973911], [-402.86713787213904, -402.8671378721389], [-302.1503534041042, 302.15035340410424], [-106.82628191497692, 185.0285478604164], [-9.157712494839252e-14, -498.52264893655916], [-558.7927725995479, 111.15079327241916], [110.9317254397389, -486.0236453030718], [703.4071541103464, -111.40874842404224], [-109.0150619467311, -263.18564105474087], [-100.71678446803476, -100.71678446803473], [-302.15035340410435, -302.15035340410407]]	right	30	8	right	[-201.43356894 -201.43356894]
17	0.8266755578915763	[[-288.0809250503516, -209.30304355620527], [8.721630947465956e-15, 142.43504255330262], [-1.3082446421198932e-14, -71.21752127665131], [106.82628191497682, -185.02854786041647], [-3.9247339263596795e-14, -213.65256382995392], [110.59470510834788, -412.7450585124524], [-185.02854786041644, -106.8262819149769], [-213.65256382995383, 370.0570957208328], [-263.1856410547409, -109.01506194673091], [110.59470510834817, 412.74505851245226], [110.9317254397389, -486.0236453030718], [263.18564105474087, -109.01506194673111], [-201.43356893606946, 201.4335689360695], [310.8237876075462, -389.7607016619593]]	left	15	4	left	[-100.71678447  100.71678447]
18	0.5729035819022101	[[-100.71678446803476, -100.71678446803473], [110.59470510834817, 412.74505851245226], [-213.65256382995412, -370.05709572083265], [-201.43356893606952, -201.43356893606946]]	right	5	4	right	[ 100.71678447 -100.71678447]
