	RT	distractor_position	key_pressed	set_size	target_ecc	target_orientation	target_position
0	6.812886095927752	[[-216.30087095538414, -449.1533866360868], [449.1533866360868, -216.30087095538417], [-783.3927340431644, 9.59379404221255e-14], [389.76070166195916, -310.82378760754636]]	right	5	4	right	[ 142.43504255    0.        ]
1	4.483162881875614	[[288.0809250503515, -209.30304355620538], [110.59470510834817, 412.74505851245226], [-310.82378760754636, -389.76070166195916], [-213.65256382995412, -370.05709572083265]]	left	5	8	left	[ -5.23297857e-14  -2.84870085e+02]
2	8.768527757853008	[[-142.43504255330262, 1.7443261894931912e-14], [216.30087095538397, -449.1533866360869], [-213.65256382995383, 370.0570957208328], [-558.7927725995479, 111.15079327241916], [-284.87008510660525, 3.4886523789863823e-14], [-201.43356893606952, -201.43356893606946], [213.65256382995392, 0.0], [558.7927725995479, 111.15079327241895], [213.65256382995364, -370.05709572083293], [-712.175212766513, 8.721630947465955e-14], [677.3188768454796, 220.07424371744654], [-110.03712185872324, 338.65943842273987], [2.1804077368664886e-14, 356.0876063832565], [640.9576914898618, 0.0], [-9.157712494839252e-14, -498.52264893655916], [1.7443261894931912e-14, 284.87008510660525], [-389.7607016619593, -310.8237876075462], [-288.0809250503515, 209.30304355620532], [783.3927340431644, 0.0], [310.8237876075462, -389.7607016619593], [288.0809250503515, -209.30304355620538], [-449.1533866360868, 216.3008709553841], [-201.43356893606946, 201.4335689360695], [-213.65256382995392, 2.6164892842397864e-14], [-402.8671378721389, 402.867137872139], [-677.3188768454797, -220.07424371744645], [-213.65256382995412, -370.05709572083265], [-6.541223210599466e-14, -356.0876063832565], [-555.0856435812493, -320.4788457449307]]	right	30	12	right	[ -4.27305128e+02   5.23297857e-14]
3	2.0011135984441353	[[201.4335689360695, 201.43356893606946], [-473.7216384403643, 316.5306791259812], [-389.7607016619592, 310.8237876075463], [-310.82378760754636, -389.76070166195916]]	left	5	4	left	[ -2.61648928e-14  -1.42435043e+02]
4	2.2515857231319387	[[526.3712821094819, 218.03012389346188], [-302.1503534041042, 302.15035340410424], [427.30512765990784, 0.0], [-631.2201039320228, 111.30113508881726], [412.7450585124523, 110.59470510834807], [473.72163844036425, -316.5306791259812], [-412.7450585124524, -110.59470510834791], [-602.303212928994, -219.22044150905222], [-449.15338663608685, -216.300870955384], [4.360815473732978e-15, 71.21752127665131], [-5.232978568479573e-14, -284.87008510660525], [-284.87008510660525, 3.4886523789863823e-14], [-558.7927725995479, 111.15079327241916], [-109.0150619467311, -263.18564105474087], [486.02364530307176, -110.93172543973911], [109.015061946731, -263.18564105474087], [-209.30304355620527, 288.08092505035154], [402.867137872139, 402.8671378721389], [213.65256382995364, -370.05709572083293], [370.0570957208328, 213.6525638299539], [-106.82628191497692, 185.0285478604164], [569.7401702132105, 0.0], [201.4335689360695, 201.43356893606946], [338.6594384227398, -110.03712185872334], [-473.72163844036436, -316.530679125981], [71.21752127665131, 0.0], [356.0876063832565, 0.0], [389.7607016619592, 310.82378760754625], [-201.43356893606946, 201.4335689360695]]	left	30	12	left	[ 302.1503534  302.1503534]
5	2.2514631303693022	[[-389.7607016619593, -310.8237876075462], [-677.3188768454796, 220.0742437174466], [569.7401702132105, 0.0], [-555.0856435812493, -320.4788457449307], [-449.1533866360868, 216.3008709553841], [631.2201039320228, 111.30113508881703], [-110.03712185872332, -338.6594384227398], [-216.30087095538403, 449.15338663608685], [703.4071541103464, -111.40874842404224], [389.76070166195916, -310.82378760754636], [209.3030435562052, -288.0809250503516], [498.52264893655916, 0.0], [449.15338663608685, 216.30087095538406], [370.05709572083265, -213.65256382995412], [288.0809250503515, -209.30304355620538], [-703.4071541103465, -111.40874842404196], [106.82628191497682, -185.02854786041647], [-6.541223210599466e-14, -356.0876063832565], [-9.157712494839252e-14, -498.52264893655916], [100.71678446803475, 100.71678446803473], [284.87008510660525, 0.0], [-402.86713787213904, -402.8671378721389], [-185.02854786041644, -106.8262819149769], [2.1804077368664886e-14, 356.0876063832565], [473.72163844036425, 316.5306791259812], [486.02364530307176, -110.93172543973911], [-106.82628191497706, -185.02854786041632], [-498.52264893655916, 6.105141663226169e-14], [402.867137872139, 402.8671378721389]]	left	30	8	left	[  1.74432619e-14   2.84870085e+02]
6	7.0313911598659615	[[109.01506194673095, 263.1856410547409], [302.1503534041041, -302.1503534041043], [209.3030435562053, 288.08092505035154], [-402.86713787213904, -402.8671378721389], [-185.02854786041644, -106.8262819149769], [631.2201039320228, -111.30113508881706], [-106.82628191497706, -185.02854786041632], [427.30512765990784, 0.0], [703.4071541103464, -111.40874842404224], [498.52264893655916, 0.0], [100.71678446803472, -100.71678446803476], [555.085643581249, -320.47884574493116], [-389.7607016619592, 310.8237876075463], [110.93172543973901, 486.0236453030718]]	right	15	4	right	[ 100.71678447  100.71678447]
7	5.610513954477938	[[185.0285478604164, 106.82628191497695], [412.7450585124522, -110.59470510834842], [640.9576914898618, 0.0], [213.65256382995364, -370.05709572083293], [-100.71678446803476, -100.71678446803473], [-209.30304355620532, -288.0809250503515], [602.3032129289937, -219.22044150905273], [-498.52264893655916, 6.105141663226169e-14], [-631.2201039320229, -111.30113508881684], [288.08092505035154, 209.3030435562053], [2.6164892842397864e-14, 427.30512765990784], [-449.15338663608685, -216.300870955384], [-288.0809250503515, 209.30304355620532], [558.7927725995478, -111.15079327241922], [110.59470510834788, -412.7450585124524], [-110.93172543973908, -486.0236453030718], [-555.0856435812492, 320.4788457449308], [-288.0809250503516, -209.30304355620527], [712.175212766513, 0.0], [288.0809250503515, -209.30304355620538], [-71.21752127665131, 8.721630947465956e-15], [412.7450585124523, 110.59470510834807], [-473.72163844036436, -316.530679125981], [-356.0876063832565, 4.360815473732977e-14], [213.65256382995392, 0.0], [783.3927340431644, 0.0], [302.1503534041041, -302.1503534041043], [4.360815473732978e-15, 71.21752127665131], [-526.3712821094819, -218.03012389346182]]	right	30	12	right	[-302.1503534  302.1503534]
8	3.188508325474686	[[209.3030435562052, -288.0809250503516], [-6.541223210599466e-14, -356.0876063832565], [-412.74505851245226, 110.5947051083482], [-703.4071541103465, -111.40874842404196], [-302.15035340410435, -302.15035340410407], [-110.59470510834802, 412.7450585124523], [-109.0150619467311, -263.18564105474087], [-555.0856435812493, -320.4788457449307], [-389.7607016619593, -310.8237876075462], [-569.7401702132105, 6.977304757972765e-14], [-142.43504255330262, 1.7443261894931912e-14], [-5.232978568479573e-14, -284.87008510660525], [-7.849467852719359e-14, -427.30512765990784], [370.05709572083265, -213.65256382995412], [-486.0236453030718, -110.93172543973893], [703.4071541103465, 111.40874842404206], [-185.02854786041644, -106.8262819149769], [310.8237876075462, -389.7607016619593], [-498.52264893655916, 6.105141663226169e-14], [100.71678446803472, -100.71678446803476], [-100.71678446803476, -100.71678446803473], [4.360815473732978e-15, 71.21752127665131], [703.4071541103464, -111.40874842404224], [201.43356893606943, -201.43356893606952], [71.21752127665131, 0.0], [-602.303212928994, -219.22044150905222], [-110.93172543973908, -486.0236453030718], [-402.86713787213904, -402.8671378721389], [338.6594384227398, -110.03712185872334]]	right	30	4	right	[  8.72163095e-15   1.42435043e+02]
9	4.743282486797398	[[-498.52264893655916, 6.105141663226169e-14], [213.65256382995398, 370.05709572083276], [-412.74505851245226, 110.5947051083482], [-631.2201039320228, 111.30113508881726]]	left	5	12	left	[ 213.65256383 -370.05709572]
