	RT	flanker_presence	key_pressed	target_ecc	target_flank_ratio	target_orientation	target_vf
0	1.2998468518244408	flankers	right	8	0.8	right	left
1	1.3250390425218939	flankers	left	12	0.8	left	right
2	1.4999632239114362	flankers	left	12	0.8	left	right
3	1.3417308252610383	flankers	right	4	0.8	right	left
4	0.9250323715104969	flankers	right	4	0.8	right	right
5	1.2666779560704526	flankers	left	12	0.75	left	left
6	0.958205543553504	flankers	left	8	0.8	left	right
7	0.8831860294199032	no flankers	left	8	0.8	left	left
8	0.8998504439073258	no flankers	left	12	0.75	left	right
9	1.04995760771817	flankers	right	12	0.75	right	right
10	0.8915453198292198	flankers	right	8	0.75	right	left
11	0.8998812331906265	no flankers	left	12	0.75	left	right
12	0.999991162335391	flankers	right	4	0.75	right	right
13	1.0998596236754565	flankers	right	12	0.75	right	right
14	0.8666755613485293	flankers	left	8	0.75	left	right
15	1.133379175155369	flankers	left	8	0.75	left	left
16	0.9666440878590947	flankers	right	4	0.75	right	right
17	0.8832632877138167	flankers	left	4	0.75	left	right
18	1.1750165492394444	flankers	right	8	0.7	right	right
19	1.1665392332442934	no flankers	right	4	0.75	right	left
20	1.133290798508824	flankers	left	8	0.7	left	right
21	1.2416676502134578	flankers	right	12	0.7	right	right
22	1.2164329817082944	no flankers	right	4	0.75	right	right
23		flankers		12	0.75	left	left
24	1.7250907571142307	flankers	left	12	0.8	right	right
25	1.7583169551453466	flankers	right	8	0.75	left	right
26	1.4666232765844143	flankers	right	4	0.8	left	right
27	0.8916750339394639	flankers	right	8	0.75	right	right
28	1.2249972489203174	flankers	right	12	0.8	right	right
29	1.0664868914627732	flankers	left	4	0.8	left	right
30	1.5499182658563768	flankers	left	4	0.8	left	left
31	1.0165623537150168	no flankers	right	12	0.8	right	left
32	0.9832876910713821	flankers	right	12	0.8	right	left
33	1.5750021238904992	flankers	left	4	0.8	right	left
34	1.3498902704150169	flankers	left	4	0.8	left	left
35	1.2582961438706661	flankers	left	12	0.75	left	right
36	1.0331232820008154	no flankers	left	8	0.75	left	right
37	0.7498273804535529	no flankers	right	12	0.75	right	right
38	0.9000069560970587	flankers	left	4	0.8	left	right
39	0.8749536022605753	flankers	left	4	0.75	left	right
40	1.2498952309110791	flankers	right	4	0.8	left	left
41	0.9000645434607577	flankers	right	12	0.75	right	right
42	1.158332178735236	flankers	right	8	0.75	right	right
43	1.016590007052855	flankers	right	4	0.8	left	left
44	0.9833737870303594	flankers	left	12	0.75	left	right
45	1.0000057017191466	flankers	left	4	0.8	left	right
46	1.0166954888568398	flankers	right	4	0.8	right	left
47	1.1415283572150656	flankers	right	8	0.7	right	right
48	1.3332096060280492	no flankers	right	8	0.7	right	left
49	1.0749528040200858	flankers	left	12	0.7	left	right
50	1.0333331052643189	flankers	right	12	0.7	right	left
51	1.2748961289316867	flankers	right	4	0.75	right	right
52	1.1999447503417286	flankers	left	4	0.75	left	left
53	1.3749977905836204	flankers	left	12	0.7	left	right
54	1.133125733740144	no flankers	left	4	0.75	left	right
55	1.4999541011611655	flankers	left	12	0.6499999999999999	left	left
56	0.9917387791592773	flankers	right	4	0.75	right	left
